id,type,version
79,Android,4.2.1
53,Android,7.1.1
26,Android,3.0
52,iOS,16.1
51,Android,5.2
78,iOS,9
55,iOS,15
15,iOS,9.3.2
19,Android,4.0.4
36,other,-1
76,Android,4.0.3
45,Android,4.4.2
44,iOS,8.1
63,iOS,4
62,Android,2.3.5
43,Android,8.0
6,Android,5.0.2
57,Android,2.3.4
21,Android,7.0
60,Android,11
13,iOS,12
54,Android,6.1
75,iOS,12.1.3
46,Android,4.2
81,Android,4.1.2
12,Android,7.0.1
82,Android,5.0.1
38,Android,12
29,iOS,13.1
80,Android,7
18,iOS,10.3.2
11,Android,2.3.7
10,Android,4.2.2
25,Android,13
24,Android,6.0
64,Android,2.2
27,Android,4.0
74,iOS,6
23,iOS,14.1
30,Android,4
50,Android,4.1
56,iOS,10.3
67,Android,14
48,Android,4.3
73,iOS,16
49,iOS,5.1
72,Android,7.1.2
42,Android,2.3.6
65,Android,7.1
3,Android,9.0
58,Android,4.4.3
47,Android,6.0.1
14,Android,5.1
68,Android,2.1
66,Android,2.3.3
1,iOS,13.4
40,Android,9
61,Android,4.4.4
35,Android,6
2,iOS,10.0.1
17,iOS,11.1.1
22,iOS,17
5,Android,3.1
20,iOS,5
77,Android,8
71,Android,5
34,iOS,11
8,Android,8.1
16,iOS,14
32,iOS,8
41,iOS,14.5.1
9,Android,4.4
69,Android,5.1.1
37,Android,3.2
4,Android,4.1.1
33,iOS,7
70,Android,5.0
28,Android,2.3
59,iOS,13
7,iOS,15.4
31,iOS,11.3
39,Android,10
